,A,B,K,M,C,P
A,1.00,0.00,0.00,0.00,0.00,0.00
B,0.00,1.00,0.00,0.00,0.00,0.00
K,0.00,0.00,1.00,0.00,0.00,0.00
M,0.00,0.00,0.00,1.00,0.00,0.00
C,0.00,0.00,0.00,0.00,1.00,0.00
P,0.00,0.00,0.00,0.00,0.00,1.00
AB,0.50,0.50,0.00,0.00,0.00,0.00
AK,0.50,0.00,0.50,0.00,0.00,0.00
AM,0.50,0.00,0.00,0.50,0.00,0.00
AC,0.50,0.00,0.00,0.00,0.50,0.00
AP,0.50,0.00,0.00,0.00,0.00,0.50
BK,0.00,0.50,0.50,0.00,0.00,0.00
BM,0.00,0.50,0.00,0.50,0.00,0.00
BC,0.00,0.50,0.00,0.00,0.50,0.00
BP,0.00,0.50,0.00,0.00,0.00,0.50
KM,0.00,0.00,0.50,0.50,0.00,0.00
KC,0.00,0.00,0.50,0.00,0.50,0.00
KP,0.00,0.00,0.50,0.00,0.00,0.50
MC,0.00,0.00,0.00,0.50,0.50,0.00
MP,0.00,0.00,0.00,0.50,0.00,0.50
CP,0.00,0.00,0.00,0.00,0.50,0.50
ABK,0.33,0.33,0.33,0.00,0.00,0.00
ABM,0.33,0.33,0.00,0.33,0.00,0.00
ABC,0.33,0.33,0.00,0.00,0.33,0.00
ABP,0.33,0.33,0.00,0.00,0.00,0.33
AKM,0.33,0.00,0.33,0.33,0.00,0.00
AKC,0.33,0.00,0.33,0.00,0.33,0.00
AKP,0.33,0.00,0.33,0.00,0.00,0.33
AMC,0.33,0.00,0.00,0.33,0.33,0.00
AMP,0.33,0.00,0.00,0.33,0.00,0.33
ACP,0.33,0.00,0.00,0.00,0.33,0.33
BKM,0.00,0.33,0.33,0.33,0.00,0.00
BKC,0.00,0.33,0.33,0.00,0.33,0.00
BKP,0.00,0.33,0.33,0.00,0.00,0.33
BMC,0.00,0.33,0.00,0.33,0.33,0.00
BMP,0.00,0.33,0.00,0.33,0.00,0.33
BCP,0.00,0.33,0.00,0.00,0.33,0.33
KMC,0.00,0.00,0.33,0.33,0.33,0.00
KMP,0.00,0.00,0.33,0.33,0.00,0.33
KCP,0.00,0.00,0.33,0.00,0.33,0.33
MCP,0.00,0.00,0.00,0.33,0.33,0.33
ABKMCP,0.17,0.17,0.17,0.17,0.17,0.17